timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-04-26T20:04:56,k_vote_trm_k1,9bb7afa1-814b-4c29-a089-397acc5d3ea6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,124.27252600000064,0.0017095293628085,1.3756293670320744e-05,11.21703435006,177.4770860429852,20.0,0.0003730299930073,0.0061569718700176,0.0006653201544445,0.0071953220174695,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.13.0,3.2.6,28,Intel(R) Core(TM) i7-14700,1,1 x NVIDIA GeForce RTX 5070,-2.3329,51.7694,63.71231842041016,machine,0.8264462809917356,92.45454545454544,31.88429752066116,20.31474802316713,N,1.0,0.0
2026-04-26T20:09:02,k_vote_trm_k2,25c047ec-1f2b-4588-81c1-e01f4d1b8160,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,240.7510089999996,0.0035649249392507,1.480751816600164e-05,12.340814694276252,193.7316329168136,20.0,0.0007972850016996,0.0129144325537597,0.0012928699433334,0.0150045874987929,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.13.0,3.2.6,28,Intel(R) Core(TM) i7-14700,1,1 x NVIDIA GeForce RTX 5070,-2.3329,51.7694,63.71231842041016,machine,1.160337552742616,94.66244725738396,32.093670886075955,20.45615414325698,N,1.0,0.0
2026-04-26T20:17:01,k_vote_trm_k4,8e55c8e4-eb37-40e6-9380-34cb50b0309c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,474.4446304000012,0.007157223369118651,1.508547659836395e-05,12.866935500527502,197.04530882601742,20.0,0.0016373394369065674,0.025940490752375922,0.0025465584361111615,0.030124388625393645,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.13.0,3.2.6,28,Intel(R) Core(TM) i7-14700,1,1 x NVIDIA GeForce RTX 5070,-2.3329,51.7694,63.712318420410156,machine,1.6373134328358208,95.68869936034115,32.12750533049041,20.47651804942312,N,1.0,0.0
