label,task,model,k,puzzle_acc,cell_acc,mean_latency_ms,kwh_per_puzzle,n_puzzles,checkpoint_path
trm-mlp-sudoku,sudoku,trm-mlp,1,0.5437,0.7597,19.905,0.00000102,422786,C:\ml-trm-work\novelty-trm-mlp-sudoku-seed0\latest.pt
trm-mlp-sudoku,sudoku,trm-mlp,2,0.5162,0.7589,42.173,0.00000212,422786,C:\ml-trm-work\novelty-trm-mlp-sudoku-seed0\latest.pt
trm-mlp-sudoku,sudoku,trm-mlp,4,0.5265,0.7620,86.801,0.00000440,422786,C:\ml-trm-work\novelty-trm-mlp-sudoku-seed0\latest.pt
trm-att-maze,maze,trm-att,1,0.7960,0.9754,122.769,0.00000720,1000,C:\ml-trm-work\novelty-trm-att-maze-seed1\latest.pt
trm-att-maze,maze,trm-att,2,0.7940,0.9753,239.248,0.00001500,1000,C:\ml-trm-work\novelty-trm-att-maze-seed1\latest.pt
trm-att-maze,maze,trm-att,4,0.7960,0.9754,472.941,0.00003012,1000,C:\ml-trm-work\novelty-trm-att-maze-seed1\latest.pt
