epoch,ce_loss,q_mean,steps_taken,val_cell_acc,val_puzzle_acc,best_puzzle_acc,elapsed_min
10,2.2007,0.000,4.0,0.1134,0.0000,0.0000,142.9
20,2.1997,0.000,4.0,0.1121,0.0000,0.0000,285.6
30,2.2005,0.000,4.0,0.1106,0.0000,0.0000,428.6
40,2.2186,0.000,4.0,0.1116,0.0000,0.0000,571.3
50,2.2600,0.001,4.0,0.1111,0.0000,0.0000,714.2
